id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,initial_sentiment_x_log_review_count,first_review_date,last_review_date_in_window
10000390-mickey,2,1,1,2,0.5,0.0,mixed,1.0986122886681098,0.0,2004-05-06,2004-05-06
10000_bc,78,5,73,30,0.0641025641025641,-0.8602150537634409,negative,4.3694478524670215,-3.7586648193264702,2008-03-07,2008-03-16
10000_km,2,2,0,1,1.0,1.0,positive,1.0986122886681098,1.0986122886681098,2015-07-10,2015-07-17
10002008-charly,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,-0.6931471805599453,2002-10-03,2002-10-03
10002516-lost_city,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,-0.6931471805599453,2005-09-03,2005-09-03
10002625-hero,4,1,3,3,0.25,-0.45454545454545453,negative,1.6094379124341003,-0.7315626874700456,2003-04-15,2003-04-15
10003276-criminal,45,33,12,21,0.7333333333333333,0.44144144144144143,positive,3.828641396489095,1.6901209768285195,2004-09-10,2004-09-19
10003645-twin_sisters,2,1,1,2,0.5,0.0,mixed,1.0986122886681098,0.0,2005-05-06,2005-05-10
10004288-running_scared,70,26,44,22,0.37142857142857144,-0.2716049382716049,negative,4.2626798770413155,-1.157764904875419,2006-02-24,2006-03-04
10004352-going_the_distance,3,0,3,2,0.0,-1.0,negative,1.3862943611198906,-1.3862943611198906,2004-08-20,2004-08-20
10004504-ultraviolet,49,5,44,19,0.10204081632653061,-0.8290598290598291,negative,3.912023005428146,-3.2433011241583776,2006-03-03,2006-03-10
10004659-arthur,40,5,35,14,0.125,-0.7872340425531915,negative,3.713572066704308,-2.9234503503842424,2007-01-12,2007-01-18
10004925-matador,20,16,4,2,0.8,0.5714285714285714,positive,3.044522437723423,1.7397271072705274,2006-01-27,2006-02-04
10005057-smile,2,0,2,2,0.0,-1.0,negative,1.0986122886681098,-1.0986122886681098,2005-04-08,2005-04-08
10005178-saint_ralph,19,10,9,11,0.5263157894736842,0.02040816326530612,mixed,2.995732273553991,0.06113739333783654,2005-08-05,2005-08-12
10005403-the_baxter,22,9,13,9,0.4090909090909091,-0.32075471698113206,negative,3.1354942159291497,-1.005724559826331,2005-08-26,2005-09-03
10005409-dirty_deeds,4,0,4,3,0.0,-1.0,negative,1.6094379124341003,-1.6094379124341003,2005-08-26,2005-08-29
10005499-oliver_twist,49,27,22,17,0.5510204081632653,0.06086956521739131,mixed,3.912023005428146,0.23812313946084368,2005-09-30,2005-10-08
10006007-the_second_chance,8,3,5,6,0.375,-0.2727272727272727,negative,2.1972245773362196,-0.5992430665462417,2006-02-17,2006-02-21
10006109-magician,4,2,2,1,0.5,-0.1111111111111111,mixed,1.6094379124341003,-0.17882643471490003,2010-10-29,2010-11-05
10006188-rise,6,2,4,2,0.3333333333333333,-0.14285714285714285,mixed,1.9459101490553132,-0.277987164150759,2007-06-01,2007-06-04
10006321,5,0,5,3,0.0,-1.0,negative,1.791759469228055,-1.791759469228055,2005-12-15,2005-12-21
10006326-bluff_master,2,1,1,1,0.5,-0.2,negative,1.0986122886681098,-0.21972245773362198,2005-12-20,2005-12-22
10006370-stay_alive,35,3,32,15,0.08571428571428572,-0.8352941176470589,negative,3.58351893845611,-2.9932922897692213,2006-03-24,2006-04-01
10006485-black_gold,9,6,3,7,0.6666666666666666,0.28,positive,2.302585092994046,0.6447238260383329,2006-10-06,2006-10-12
10006490,6,4,2,2,0.6666666666666666,0.42857142857142855,positive,1.9459101490553132,0.833961492452277,2007-02-23,2007-03-03
10006630-life_of_reilly,15,15,0,9,1.0,1.0,positive,2.772588722239781,2.772588722239781,2007-11-09,2007-11-17
10007305-close_to_home,14,11,3,6,0.7857142857142857,0.5882352941176471,positive,2.70805020110221,1.592970706530712,2007-02-16,2007-02-25
10007415-amazing_grace,45,37,8,13,0.8222222222222222,0.6310679611650486,positive,3.828641396489095,2.4161329201144777,2007-02-23,2007-03-03
10007598-cocaine_cowboys,18,12,6,9,0.6666666666666666,0.28888888888888886,positive,2.9444389791664403,0.8506157050925272,2006-10-27,2006-11-03
10007729-screamers,6,6,0,1,1.0,1.0,positive,1.9459101490553132,1.9459101490553132,2006-12-08,2006-12-14
10007820-guadalupe,2,0,2,1,0.0,-1.0,negative,1.0986122886681098,-1.0986122886681098,2006-12-08,2006-12-08
10007898-slipstream,13,3,10,5,0.23076923076923078,-0.5483870967741935,negative,2.6390573296152584,-1.4472249872083673,2007-10-26,2007-10-29
10007947-ten,23,9,14,12,0.391304347826087,-0.20689655172413793,negative,3.1780538303479458,-0.6575283786926784,2007-08-03,2007-08-11
10007985-happening,110,23,87,32,0.20909090909090908,-0.6031746031746031,negative,4.709530201312334,-2.8406690103153758,2008-06-13,2008-06-22
10008097-lady_chatterley,7,4,3,4,0.5714285714285714,0.2222222222222222,positive,2.0794415416798357,0.4620981203732968,2007-06-22,2007-06-22
10008200-spiral,2,1,1,1,0.5,-0.2,negative,1.0986122886681098,-0.21972245773362198,2008-02-08,2008-02-16
10008390_blood_and_tears,1,1,0,1,1.0,1.0,positive,0.6931471805599453,0.6931471805599453,2007-06-15,2007-06-15
10008496-pathology,13,5,8,5,0.38461538461538464,-0.16129032258064516,mixed,2.6390573296152584,-0.425654408002461,2008-04-18,2008-04-25
10008502-christmas_carol,100,54,46,29,0.54,0.10043668122270742,mixed,4.61512051684126,0.46352738815436234,2009-11-06,2009-11-13
10008507-deep_water,12,12,0,5,1.0,1.0,positive,2.5649493574615367,2.5649493574615367,2007-08-24,2007-09-01
10008587-beverly_hills_chihuahua,49,19,30,17,0.3877551020408163,-0.23478260869565218,negative,3.912023005428146,-0.9184749664918256,2008-10-03,2008-10-12
10008601-fireflies_in_the_garden,12,1,11,7,0.08333333333333333,-0.8064516129032258,negative,2.5649493574615367,-2.0685075463399487,2011-10-14,2011-10-20
10008606-eye,51,11,40,14,0.21568627450980393,-0.603448275862069,negative,3.9512437185814275,-2.3843712094887923,2008-02-01,2008-02-08
10008611-my_best_friends_girl,33,4,29,16,0.12121212121212122,-0.7317073170731707,negative,3.5263605246161616,-2.5802637984996304,2008-09-19,2008-09-27
10008617-midnight_meat_train,6,2,4,1,0.3333333333333333,-0.23076923076923078,negative,1.9459101490553132,-0.4490561882435338,2008-08-02,2008-08-08
10008618-return,38,16,22,19,0.42105263157894735,-0.2,negative,3.6635616461296463,-0.7327123292259293,2008-09-26,2008-09-30
10008621-run_fat_boy_run,53,28,25,19,0.5283018867924528,0.056,mixed,3.9889840465642745,0.22338310660759939,2008-03-28,2008-04-04
10008652-closing_escrow,8,5,3,5,0.625,0.14285714285714285,mixed,2.1972245773362196,0.31388922533374564,2007-08-24,2007-08-31
10008655-whiteout,63,5,58,24,0.07936507936507936,-0.8666666666666667,negative,4.1588830833596715,-3.6043653389117156,2009-09-11,2009-09-19
10008660-price_of_sugar,7,4,3,3,0.5714285714285714,0.17647058823529413,mixed,2.0794415416798357,0.3669602720611475,2007-09-27,2007-09-28
10008661-randy_and_the_mob,2,1,1,1,0.5,-0.2,negative,1.0986122886681098,-0.21972245773362198,2007-09-21,2007-09-29
