id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,first_review_date,last_review_date_in_window
10010400-fraude_mexico_2006,5,4,1,2,0.8,0.6666666666666666,positive,1.791759469228055,2008-10-10,2008-10-13
10010415-antarctica,5,2,3,3,0.4,-0.0769230769230769,mixed,1.791759469228055,2008-11-14,2008-11-22
10010458-proposal,66,36,30,21,0.5454545454545454,0.0849673202614379,mixed,4.204692619390966,2009-06-19,2009-06-28
10010518-who_do_you_love,11,3,8,5,0.2727272727272727,-0.4814814814814814,negative,2.4849066497880004,2010-04-09,2010-04-15
10010535-fashion,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,2008-11-06,2008-11-06
10010552-gigantic,16,3,13,8,0.1875,-0.6,negative,2.833213344056216,2009-04-03,2009-04-10
10010568-fuel,2,2,0,2,1.0,1.0,positive,1.0986122886681098,2009-09-18,2009-09-18
10010658-orphan,59,26,33,18,0.4406779661016949,-0.1323529411764706,mixed,4.0943445622221,2009-07-24,2009-08-01
10010662-my_sisters_keeper,65,33,32,24,0.5076923076923077,0.0,mixed,4.189654742026425,2009-06-26,2009-07-03
10010667-hangover,120,94,26,38,0.7833333333333333,0.5611510791366906,positive,4.795790545596741,2009-06-05,2009-06-14
10010668-stepfather,33,4,29,10,0.1212121212121212,-0.7631578947368421,negative,3.5263605246161616,2009-10-16,2009-10-25
10010675-departures,24,16,8,15,0.6666666666666666,0.3015873015873015,positive,3.218875824868201,2009-05-29,2009-06-06
10010694-season_of_the_witch,56,2,54,19,0.0357142857142857,-0.9236641221374046,negative,4.04305126783455,2011-01-07,2011-01-15
10010703-shuttle,9,6,3,3,0.6666666666666666,0.4285714285714285,positive,2.302585092994046,2009-03-06,2009-03-15
10010760-miss_march,44,1,43,16,0.0227272727272727,-0.9615384615384616,negative,3.80666248977032,2009-03-13,2009-03-22
10010782-american_affair,18,1,17,10,0.0555555555555555,-0.9130434782608696,negative,2.9444389791664403,2009-02-27,2009-03-08
10010785-grace,7,6,1,3,0.8571428571428571,0.7647058823529411,positive,2.079441541679836,2009-08-14,2009-08-14
10010787-endgame,1,1,0,0,1.0,1.0,positive,0.6931471805599453,2009-11-08,2009-11-08
10010789-red_baron,3,0,3,0,0.0,-1.0,negative,1.3862943611198906,2010-03-20,2010-03-24
10010919-objective,4,2,2,0,0.5,0.0,mixed,1.6094379124341005,2009-02-04,2009-02-11
10010932-memorial_day,8,1,7,5,0.125,-0.7142857142857143,negative,2.19722457733622,2009-02-04,2009-02-06
10010940-happy_tears,6,1,5,2,0.1666666666666666,-0.7142857142857143,negative,1.9459101490553128,2010-02-19,2010-02-28
10010944-missing_person,6,5,1,3,0.8333333333333334,0.6,positive,1.9459101490553128,2009-11-20,2009-11-29
10010957-polanski_unauthorized,5,0,5,2,0.0,-1.0,negative,1.791759469228055,2009-02-13,2009-02-17
10010972-mammoth,12,8,4,8,0.6666666666666666,0.3125,positive,2.5649493574615367,2009-11-20,2009-11-24
10011003-crude,12,11,1,5,0.9166666666666666,0.8620689655172413,positive,2.5649493574615367,2009-09-09,2009-09-12
10011005-april_showers,1,1,0,1,1.0,1.0,positive,0.6931471805599453,2009-04-28,2009-04-28
10011016-messenger,9,9,0,0,1.0,1.0,positive,2.302585092994046,2009-11-27,2009-12-06
10011154-golden_boys,7,1,6,3,0.1428571428571428,-0.7647058823529411,negative,2.079441541679836,2009-04-17,2009-04-24
10011235-fame,64,18,46,28,0.28125,-0.4358974358974359,negative,4.174387269895637,2009-09-25,2009-10-04
10011262-outrage,14,9,5,8,0.6428571428571429,0.2777777777777778,positive,2.70805020110221,2009-05-08,2009-05-15
10011304-thirst,21,14,7,11,0.6666666666666666,0.2830188679245283,positive,3.091042453358316,2009-07-31,2009-08-09
10011388-blood_the_last_vampire,18,4,14,8,0.2222222222222222,-0.5909090909090909,negative,2.9444389791664403,2009-07-10,2009-07-16
10011435-shrink,29,8,21,18,0.2758620689655172,-0.5,negative,3.4011973816621555,2009-07-24,2009-08-01
10011457-ong_bak_2_2009,11,4,7,6,0.3636363636363636,-0.2857142857142857,negative,2.4849066497880004,2009-10-23,2009-10-29
10011494-last_ride,8,7,1,6,0.875,0.7272727272727273,positive,2.19722457733622,2012-07-03,2012-07-06
10011553-surviving_crooked_lake,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,2009-07-24,2009-07-24
10011582-tron_legacy,81,40,41,15,0.4938271604938271,-0.03954802259887,mixed,4.406719247264253,2010-12-17,2010-12-25
10011721-broken_hill,2,2,0,1,1.0,1.0,positive,1.0986122886681098,2009-09-11,2009-09-17
10011736-suck,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,2010-09-02,2010-09-02
10011774-chloe,50,24,26,17,0.48,-0.1282051282051282,mixed,3.9318256327243257,2010-03-26,2010-04-01
10011854-good_soldier,8,6,2,4,0.75,0.4,positive,2.19722457733622,2009-11-11,2009-11-19
1001193-around_the_world_in_80_days,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1956-10-17,1956-10-17
10011944-good_heart,16,2,14,12,0.125,-0.7727272727272727,negative,2.833213344056216,2010-04-30,2010-05-07
10011946-wonderful_world,13,7,6,9,0.5384615384615384,0.0285714285714285,mixed,2.6390573296152584,2010-01-08,2010-01-14
10011947-love_hurts,2,1,1,1,0.5,0.2,positive,1.0986122886681098,2009-11-13,2009-11-13
10011973-strip,7,2,5,5,0.2857142857142857,-0.4736842105263157,negative,2.079441541679836,2009-12-04,2009-12-11
10011984-last_song,73,11,62,33,0.1506849315068493,-0.7206703910614525,negative,4.30406509320417,2010-03-31,2010-04-09
